title,source,creator,subject,date
சதுரங்கம் விளையாடுவது எப்படி,https://ta.wikisource.org/wiki/சதுரங்கம் விளையாடுவது எப்படி,டாக்டர். எஸ். நவராஜ் செல்லையா,,2007
அறிவியல் வினா விடை-இயற்பியல்,https://ta.wikisource.org/wiki/அறிவியல் வினா விடை-இயற்பியல்,பேரா. அ. கி. மூர்த்தி,,2002
கம்பராமாயணம் (உரைநடை),https://ta.wikisource.org/wiki/கம்பராமாயணம் (உரைநடை),டாக்டர் ரா. சீனிவாசன்,,2000
பாற்கடல்,https://ta.wikisource.org/wiki/பாற்கடல்,லா. ச. ராமாமிர்தம்,,1994
பாட்டுப் பாடுவோம்,https://ta.wikisource.org/wiki/பாட்டுப் பாடுவோம்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,,
மொஹெஞ்சொ-தரோ அல்லது சிந்துவெளி நாகரிகம்,https://ta.wikisource.org/wiki/மொஹெஞ்சொ-தரோ அல்லது சிந்துவெளி நாகரிகம்,டாக்டர். மா. இராசமாணிக்கனார்,வரலாறு,1941
ஒரு பூர்வ பௌத்தனின் சாட்சியம்,https://ta.wikisource.org/wiki/ஒரு பூர்வ பௌத்தனின் சாட்சியம்,பண்டிதர் க. அயோத்திதாசர்,,2006
பேராசிரியர் அ. ச. ஞாவின் பதில்கள்,https://ta.wikisource.org/wiki/பேராசிரியர் அ. ச. ஞாவின் பதில்கள்,பேராசிரியர் அ. ச. ஞானசம்பந்தன்,,2004
அலிபாபா (2002),https://ta.wikisource.org/wiki/அலிபாபா (2002),தியாகி ப. ராமசாமி,சிறுவர் கதைகள்,2002
மூவரை வென்றான்,https://ta.wikisource.org/wiki/மூவரை வென்றான்,நா. பார்த்தசாரதி,புதினங்கள்,1994
சோழர் வரலாறு,https://ta.wikisource.org/wiki/சோழர் வரலாறு,டாக்டர். மா. இராசமாணிக்கனார்,வரலாறு,1947
ஔவையார் கதை,https://ta.wikisource.org/wiki/ஔவையார் கதை,அ. க. நவநீதகிருட்டிணன்,வில்லுப்பாட்டு,
மாணவர்களுக்கு புறநானூற்றுச் சிறுகதைகள்,https://ta.wikisource.org/wiki/மாணவர்களுக்கு புறநானூற்றுச் சிறுகதைகள்,முல்லை முத்தையா,சிறுவர் கதைகள்,2002
எழு பெரு வள்ளல்கள்,https://ta.wikisource.org/wiki/எழு பெரு வள்ளல்கள்,கி. வா. ஜகந்நாதன்,,1959
ஏலக்காய்,https://ta.wikisource.org/wiki/ஏலக்காய்,பூவை. எஸ். ஆறுமுகம்,வேளாண்மை,1986
பல்லவப் பேரரசர்,https://ta.wikisource.org/wiki/பல்லவப் பேரரசர்,டாக்டர். மா. இராசமாணிக்கனார்,,1946
செயலும் செயல்திறனும்,https://ta.wikisource.org/wiki/செயலும் செயல்திறனும்,பாவலரேறு பெருஞ்சித்திரனார்,,1999
ஏட்டில் இல்லாத மகாபாரதக் கதைகள்,https://ta.wikisource.org/wiki/ஏட்டில் இல்லாத மகாபாரதக் கதைகள்,புலவர் த. கோவேந்தன்,,1988
புறநானூற்றுச் சிறுகதைகள்,https://ta.wikisource.org/wiki/புறநானூற்றுச் சிறுகதைகள்,நா. பார்த்தசாரதி,,1978
கேள்வி நேரம்,https://ta.wikisource.org/wiki/கேள்வி நேரம்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,,1988
குதிரைச் சவாரி,https://ta.wikisource.org/wiki/குதிரைச் சவாரி,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,சிறுவர் கதைகள்,1978
தெளிவு பிறந்தது,https://ta.wikisource.org/wiki/தெளிவு பிறந்தது,மணவை முஸ்தபா,சிறுவர் கதைகள்,1989
வாழ்க்கை விநோதம்,https://ta.wikisource.org/wiki/வாழ்க்கை விநோதம்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,சிறுவர் கதைகள்,1965
சேக்கிழார்,https://ta.wikisource.org/wiki/சேக்கிழார்,டாக்டர். மா. இராசமாணிக்கனார்,,1947
கபாடபுரம் (நா. பார்த்தசாரதி)|கபாடபுரம்,https://ta.wikisource.org/wiki/கபாடபுரம் (நா. பார்த்தசாரதி)|கபாடபுரம்,நா. பார்த்தசாரதி,வரலாற்றுப் புதினங்கள்,1967
இலக்கியங்கண்ட காவலர்,https://ta.wikisource.org/wiki/இலக்கியங்கண்ட காவலர்,புலவர் கா. கோவிந்தன்,,2001
மனத்தின் தோற்றம்,https://ta.wikisource.org/wiki/மனத்தின் தோற்றம்,பேரா. சுந்தரசண்முகனார்,,1992
பெரியார் அறிவுச் சுவடி,https://ta.wikisource.org/wiki/பெரியார் அறிவுச் சுவடி,விந்தன்,,2004
தொழிலியல் விஞ்ஞானி ஜி. டி. நாயுடு,https://ta.wikisource.org/wiki/தொழிலியல் விஞ்ஞானி ஜி. டி. நாயுடு,என். வி. கலைமணி,வாழ்க்கை வரலாறு,2003
பூவும் கனியும்,https://ta.wikisource.org/wiki/பூவும் கனியும்,டாக்டர் நெ. து. சுந்தரவடிவேலு,,1959
விடுகதை விளையாட்டு,https://ta.wikisource.org/wiki/விடுகதை விளையாட்டு,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,,1981
சுதந்திரம் பிறந்த கதை,https://ta.wikisource.org/wiki/சுதந்திரம் பிறந்த கதை,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,,1968
திருப்புமுனை,https://ta.wikisource.org/wiki/திருப்புமுனை,மணவை முஸ்தபா,சிறுவர் கதைகள்,1989
தந்தை பெரியார் சிந்தனைகள்,https://ta.wikisource.org/wiki/தந்தை பெரியார் சிந்தனைகள்,பேராசிரியர் ந. சுப்புரெட்டியார்,பெரியாரியல்,2001
திரும்பி வந்த மான் குட்டி,https://ta.wikisource.org/wiki/திரும்பி வந்த மான் குட்டி,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,சிறுவர் கதைகள்,2002
வித்தைப் பாம்பு,https://ta.wikisource.org/wiki/வித்தைப் பாம்பு,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,சிறுவர் கதைகள்,
சோனாவின் பயணம்,https://ta.wikisource.org/wiki/சோனாவின் பயணம்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,சிறுவர் கதைகள்,1974
நான்கு நண்பர்கள்,https://ta.wikisource.org/wiki/நான்கு நண்பர்கள்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,சிறுவர் கதைகள்,1962
ரோஜாச் செடி,https://ta.wikisource.org/wiki/ரோஜாச் செடி,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,சிறுவர் கதைகள்,1968
உலகத்தமிழ்,https://ta.wikisource.org/wiki/உலகத்தமிழ்,டாக்டர் நெ. து. சுந்தரவடிவேலு‎,பயண நூல்,1972
தந்தை பெரியார்,https://ta.wikisource.org/wiki/தந்தை பெரியார்,கே. பி. நீலமணி,பெரியாரியல்,2006
சுழலில் மிதக்கும் தீபங்கள்,https://ta.wikisource.org/wiki/சுழலில் மிதக்கும் தீபங்கள்,ராஜம் கிருஷ்ணன்,சமூக நூல்கள்,1987
சிக்கிமுக்கிக் கற்கள்,https://ta.wikisource.org/wiki/சிக்கிமுக்கிக் கற்கள்,சு. சமுத்திரம்,சிறுகதைகள்,1999
நல்ல மனைவியை அடைவது எப்படி,https://ta.wikisource.org/wiki/நல்ல மனைவியை அடைவது எப்படி,வல்லிக்கண்ணன்,,
சிறந்த கதைகள் பதிமூன்று,https://ta.wikisource.org/wiki/சிறந்த கதைகள் பதிமூன்று,வல்லிக்கண்ணன்,சிறுகதைகள்,1995
வஞ்சிமாநகரம்,https://ta.wikisource.org/wiki/வஞ்சிமாநகரம்,நா. பார்த்தசாரதி,வரலாற்றுப் புதினங்கள்,1968
சீவக சிந்தாமணி (உரைநடை),https://ta.wikisource.org/wiki/சீவக சிந்தாமணி (உரைநடை),டாக்டர் ரா. சீனிவாசன்,,1991
உமார் கயாம்,https://ta.wikisource.org/wiki/உமார் கயாம்,பாவலர் நாரா. நாச்சியப்பன்,வரலாற்றுப் புதினங்கள்,2006
முதுமொழிக் காஞ்சி-மூலமும் உரையும்,https://ta.wikisource.org/wiki/முதுமொழிக் காஞ்சி-மூலமும் உரையும்,பேரா. சுந்தரசண்முகனார்,,1991
தொந்தியைக் குறைக்க சுலபமான வழிகள்,https://ta.wikisource.org/wiki/தொந்தியைக் குறைக்க சுலபமான வழிகள்,டாக்டர். எஸ். நவராஜ் செல்லையா,,1997
அசோகர் கதைகள்,https://ta.wikisource.org/wiki/அசோகர் கதைகள்,பாவலர் நாரா. நாச்சியப்பன்,,1975
அங்கும் இங்கும்,https://ta.wikisource.org/wiki/அங்கும் இங்கும்,டாக்டர் நெ. து. சுந்தரவடிவேலு,பயண நூல்,1968
