identifier,identifier_pmid,title,creator,subject,rights,source,file_names_html,text_links_list
95,42,விவிலியம்  /புதிய ஏற்பாடு /பிலமோன்,விவிலியம்,சமயம் – கிருத்துவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0042.html,pmuni0042.txt
96,42,விவிலியம்  /புதிய ஏற்பாடு /தெஸலோனியர்கள்,விவிலியம்,சமயம் – கிருத்துவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0042.html,pmuni0042.txt
97,42,விவிலியம்  /புதிய ஏற்பாடு /திமோதி,விவிலியம்,சமயம் – கிருத்துவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0042.html,pmuni0042.txt
98,43,மதுரை மீனாட்சிஅம்மை பிள்ளைத்தமிழ்,குமரகுருபரர்,பிரபந்தம் - பிள்ளைத்தமிழ்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0043.html,pmuni0043.txt
99,44,கலேவலா - தமிழாக்கம் - 3,உதயணன்,காப்பியம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0044_01.html | pmuni0044_02.html,pmuni0044_01.txt | pmuni0044_02.txt
100,45,மதுரைக் கலம்பகம்,குமரகுருபரர்,பிரபந்தம் - கலம்பகம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0045.html,pmuni0045.txt
101,46,சிலப்பதிகாரம் /பாகம் 1 /புகார்க்காண்டம்,இளங்கோ அடிகள்,காப்பியம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0046.html,pmuni0046.txt
102,47,நான்மணிக்கடிகை,விளம்பிநாகனார்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0047.html,pmuni0047.txt
103,48,திருகடுகம்,நல்லாதனார்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0048.html,pmuni0048.txt
104,49,கண்ணன் பாட்டு,சி. சுப்ரமணிய பாரதியார்,பாடல்கள் - தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0049.html,pmuni0049.txt
105,49,குயில் பாட்டு,சி. சுப்ரமணிய பாரதியார்,பாடல்கள் - தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0049.html,pmuni0049.txt
106,49,பாரதியார் பாடல்கள் - 3,சி. சுப்ரமணிய பாரதியார்,பாடல்கள் - தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0049.html,pmuni0049.txt
107,50,மதுராபுரி அம்பிகைமாலை,குலசேகர பாண்டியன்,பிரபந்தம் - மாலை,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0050.html,pmuni0050.txt
108,51,இன்னிலை,பொய்கையார்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0051.html,pmuni0051.txt
109,51,கைந்நிலை,புல்லங்காடனார்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0051.html,pmuni0051.txt
110,52,சரஸ்வதி அந்தாதி,கம்பர்,பிரபந்தம் - அந்தாதி,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0052.html,pmuni0052.txt
111,52,சடகோபர் அந்தாதி,கம்பர்,பிரபந்தம் - அந்தாதி,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0052.html,pmuni0052.txt
112,53,முல்லைப் பாட்டு/ஆராய்ச்சி,மறைமலை அடிகள்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0053.html,pmuni0053.txt
113,54,திருச்சிற்றம்பலக் கோவையார்,மாணிக்க வாசகர்,சமயம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0054.html,pmuni0054.txt
114,54,திருமுறை 8/ திருச்சிற்றம்பலக் கோவையார்,மாணிக்க வாசகர்,சமயம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0054.html,pmuni0054.txt
115,55,யாப்பெருங்கலக் காரிகை,அமிதசாகரர்,இலக்கணம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0055.html,pmuni0055.txt
116,56,திணைமாலை நூற்றைம்பது,கணிமேதையார்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0056.html,pmuni0056.txt
117,57,புறநானூறு,,சங்ககாலம் – எட்டுத்தொகை,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0057.html,pmuni0057.txt
118,58,ஏழாண்டு இலக்கிய வளர்ச்சி,மு. தளையசிங்கம்,வரலாறு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0058.html,pmuni0058.txt
119,59,விவேக சிந்தாமணி,,,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0059.html,pmuni0059.txt
120,60,ஆதிநாதன் வளமடல்,செயங்கொண்டார்,,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0060.html,pmuni0060.txt
121,60,காரானை விழுப்பரையன் மடல்,செயங்கொண்டார்,,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0060.html,pmuni0060.txt
122,61,பழைய இராமயணம்,,காப்பியம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0061.html,pmuni0061.txt
123,62,வளையாபதி,,காப்பியம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0062.html,pmuni0062.txt
124,63,பொருநாறாற்றுப்படை,முடத்தாமக்கண்ணியார்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0063.html,pmuni0063.txt
125,64,சிறுபாணாற்றுப்படை,நத்தத்தனார்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0064.html,pmuni0064.txt
126,65,அகங்களும் முகங்களும்,சு. வில்வரத்தினம்,கவிதைத் தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0065.html,pmuni0065.txt
127,66,அழியா நிழல்கள்,எம்.ஏ. நுஃமான்,கவிதைத் தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0066.html,pmuni0066.txt
128,67,திருமுருகாற்றுப்படை,நக்கீரர்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0067.html,pmuni0067.txt
129,68,இருபா இருபஃது,அருணந்தி சிவாச்சாரியார்,சைவ சித்தாந்தம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0068.html,pmuni0068.txt
130,68,உண்மை விளக்கம்,மணவாசகங் கடனார்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0068.html,pmuni0068.txt
131,69,பெரும்பாணாற்றுப்படை,கடியலூர் உருத்திரங்கண்ணனார்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0069.html,pmuni0069.txt
132,70,நெடுநல் வாடை,நக்கீரர்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0070.html,pmuni0070.txt
133,71,மதுரைக் காஞ்சி,மாங்குடி மருதனார்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0071.html,pmuni0071.txt
134,72,நாமக்கல் கவிஞர் பாடல்கள் - 1,நாமக்கல் இராமலிங்கம் பிள்ளை,பாடல்கள் - தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0072.html,pmuni0072.txt
135,73,குறிஞ்சிப் பாட்டு,கபிலர்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0073.html,pmuni0073.txt
136,74,சித்தர் பாடல்கள் (மெய்ஞ்ஞானப் புலம்பல்),பத்ரகிரியார்,சித்தர் பாடல்கள்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0074.html,pmuni0074.txt
137,75,திருக்கடவூர் பதிகங்கள்,அபிராமி பட்டர்,சமயம் - சைவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0075.html,pmuni0075.txt
138,76,சித்தர் பாடல்கள் தொகுப்பு,அழுகணிச் சித்தர்; இராமதேவர்; கடுவெளிச் சித்தர்; குதம்பைச் சித்தர்; சட்டைமுனி ; திருமூல நாயனார்; திருவள்ளுவர்,சித்தர் பாடல்கள்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0076.html,pmuni0076.txt
139,77,பட்டினப்பாலை,கடியலூர் உருத்திரங்கண்ணனார்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0077.html,pmuni0077.txt
140,78,மலைபடு கடாம்,பெருங்கௌசிகனார்,சங்ககாலம் - பத்துப்பாட்டு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0078.html,pmuni0078.txt
141,79,நாமக்கல் கவிஞர் பாடல்கள் - 2,நாமக்கல் இராமலிங்கம் பிள்ளை,பாடல்கள் - தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0079.html,pmuni0079.txt
142,80,சிவஞான போதம்,மெய்கண்ட தேவர்,சைவ சித்தாந்தம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0080.html,pmuni0080.txt
143,81,திருவருட்பயன்,உமாபதி சிவாச்சாரியார்,சைவ சித்தாந்தம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0081.html,pmuni0081.txt
144,82,மோகவாசல் (சிறுகதைத் தொகுப்பு),ரஞ்சகுமார்,சிறுகதைகள் தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0082.html,pmuni0082.txt
145,83,சித்தர் (பட்டினத்தார்) பாடல்கள்,பட்டினத்துப் பிள்ளையார்,சித்தர் பாடல்கள்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0083.html,pmuni0083.txt
146,84,தமிழ் இயக்கம்,பாரதிதாசன்,கட்டுரைகள்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0084.html,pmuni0084.txt
147,85,நாமக்கல் கவிஞர் பாடல்கள் - 3,நாமக்கல் இராமலிங்கம் பிள்ளை,பாடல்கள் - தொகுப்பு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0085.html,pmuni0085.txt
148,86,இருண்ட வீடு,பாரதிதாசன்,காவியம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0086.html,pmuni0086.txt
149,87,பரிபாடல்,பல ஆசிரியர்கள் (13),சங்ககாலம் – எட்டுத்தொகை,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0087.html,pmuni0087.txt
150,88,பரிபாடல் திரட்டு,,சங்ககாலம் – எட்டுத்தொகை,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0088.html,pmuni0088.txt
